Gene	GeneDesc
K15632	23S rRNA (adenine-C8)-methyltransferase [EC:2.1.1.224]
K06232	growth arrest-specific 1
K21101	2-glutathionyl-2-methylbut-3-en-1-ol dehydrogenase [EC:1.1.1.398]
K10228	sorbitol/mannitol transport system permease protein
K07483	transposase
K12025	tripartite motif-containing protein 52
K10062	collectin sub-family member 12
K17608	striatin 1/3/4
K00290	saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]
K08694	speedy
K13604	bacteriochlorophyllide d C-20 methyltransferase [EC:2.1.1.333]
K13620	putative colanic acid polymerase
K18432	RNA helicase armi [EC:3.6.4.13]
K09777	uncharacterized protein
K10217	aminomuconate-semialdehyde/2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.32 1.2.1.85]
K00694	cellulose synthase (UDP-forming) [EC:2.4.1.12]
K17682	mitochondrial nucleoid factor 1
K20636	Rho GTPase-activating protein 12/27
K15671	rifamycin polyketide synthase modules 4, 5 and 6
K19904	synaptotagmin-4
K19794	barbiturase [EC:3.5.2.1]
K14292	trimethylguanosine synthase [EC:2.1.1.-]
K11585	chromobox protein 1
K16218	2-methylisoborneol synthase [EC:4.2.3.118]
K08485	phosphocarrier protein NPr
K21292	ent-kaurene oxidase [EC:1.14.13.78]
K00280	lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-]
K15484	inhibitor of growth protein SidF
K11948	1-hydroxy-2-naphthoate dioxygenase [EC:1.13.11.38]
K15886	multifunctional cyclase / dehydratase / O-methyltransferase [EC:2.3.1.235]
K22311	phosphatidylinositol dimannoside acyltransferase [EC:2.3.1.265]
K21384	3,5-dihydroxybiphenyl/4-hydroxycoumarin synthase [EC:2.3.1.177 2.3.1.208]
K11827	AP-2 complex subunit sigma-1
K06861	lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]
K20288	conserved oligomeric Golgi complex subunit 1
K21339	4-O-dimethylallyl-L-tyrosine synthase [EC:2.5.1.122]
K03328	polysaccharide transporter, PST family
K00587	protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100]
K08016	tyrosine-protein kinase TXK [EC:2.7.10.2]
K02637	cytochrome b6-f complex subunit 4
K04235	coagulation factor II (thrombin) receptor-like 2
K07504	predicted type IV restriction endonuclease
K12700	non-specific riboncleoside hydrolase [EC:3.2.-.-]
K19845	GTPase-activating protein SAC7
K08371	cytochrome b-561 domain containing protein 2
K09751	transmembrane protease serine 11B [EC:3.4.21.-]
K16837	mature T-cell proliferation-1 type B1
K02115	F-type H+-transporting ATPase subunit gamma
K02994	small subunit ribosomal protein S8
K06679	mitotic spindle assembly checkpoint protein MAD1
K10133	tumor protein p53-inducible protein 3 [EC:1.-.-.-]
K17762	rsbT antagonist protein RsbS
K11392	16S rRNA (cytosine1407-C5)-methyltransferase [EC:2.1.1.178]
K06752	major histocompatibility complex, class II
K19920	equatorin
K02605	origin recognition complex subunit 3
K02361	isochorismate synthase [EC:5.4.4.2]
K18025	tyrosine-protein phosphatase non-receptor type 14/21 [EC:3.1.3.48]
K09837	carotene epsilon-monooxygenase [EC:1.14.99.45]
K09347	homeobox protein Nkx-2.8
K02438	glycogen debranching enzyme [EC:3.2.1.196]
K06521	semaphorin 4
K07856	Ras homolog gene family, member B
K02638	plastocyanin
K07124	uncharacterized protein
K13766	methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K11060	probable enterotoxin B
K19076	CRISPR-associated protein Cmr2
K08185	MFS transporter, MCP family, solute carrier family 16 (monocarboxylic acid transporters), member 8
K14162	error-prone DNA polymerase [EC:2.7.7.7]
K08066	nuclear transcription factor Y, gamma
K21565	membrane ancheor protein
K00170	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K12486	stromal membrane-associated protein
K10402	kinesin family member 20
K04511	prickle
K06876	deoxyribodipyrimidine photolyase-related protein
K02296	aryl hydrocarbon receptor nuclear translocator-like protein 1
K14513	ethylene-insensitive protein 2
K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
K18298	membrane fusion protein, multidrug efflux system
K10466	kelch-like protein 30
K06859	glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
K15487	effector protein SdbA
K19034	50S ribosomal protein 5
K09504	DnaJ homolog subfamily A member 3
K10042	succinate receptor 1
K06489	CD53 antigen
K21392	adipocyte enhancer-binding protein 1
K09306	homeobox protein HoxA/B/C6
K02753	PTS system, beta-glucoside (arbutin/salicin/cellobiose)-specific IIC component
K10980	non-homologous end-joining factor 1
K10672	glycine reductase complex component B subunit gamma [EC:1.21.4.2]
K21604	jasmonoyl-L-amino acid hydrolase [EC:3.5.1.127]
K19520	uroplakin-3a
K20107	PTS system, maltose-specific IIB component [EC:2.7.1.208]
K04946	potassium channel subfamily T member 1
K20007	potassium channel subfamily K member 18
K04871	voltage-dependent calcium channel gamma-6
K13044	heterogeneous nuclear ribonucleoprotein A/B/D
K06425	small acid-soluble spore protein H (minor)
K12275	translocation protein SEC62
K16581	tubulin polyglutamylase complex subunit 1
K18620	cortexillin 1/2
K09206	krueppel-like factor 5
K03867	UDP-glucose:tetrahydrobiopterin glucosyltransferase [EC:2.4.1.-]
K11353	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 13
K04443	mitogen-activated protein kinase-activated protein kinase 2 [EC:2.7.11.1]
K20829	cellulose 1,4-beta-cellobiosidase [EC:3.2.1.176]
K08557	androgen receptor
K19689	aminopeptidase [EC:3.4.11.-]
K12235	serine racemase [EC:5.1.1.18]
K08529	retinoic acid receptor gamma
K16044	scyllo-inositol 2-dehydrogenase (NADP+) [EC:1.1.1.371]
K18761	protein nanos 3
K13204	zinc finger protein 326
K04362	fibroblast growth factor receptor 1 [EC:2.7.10.1]
K15280	solute carrier family 35, member C2
K04955	hyperpolarization activated cyclic nucleotide-gated potassium channel 2
K13633	AraC family transcriptional regulator, transcriptional activator FtrA
K11576	centromere DNA-binding protein complex CBF3 subunit C
K21750	3-deoxy-D-glycero-D-galacto-nononate cytidylyltransferase [EC:2.7.7.92]
K19762	ATP-binding cassette, subfamily B, HAIF transporter
K17507	protein phosphatase 1M [EC:3.1.3.16]
K21788	dodecanoy-ACP synthase
K06370	morphogenetic protein associated with SpoVID
K07276	uncharacterized protein
K12530	ATP-binding cassette, subfamily B, bacterial RtxB
K21063	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.104]
K18995	ATP-dependent RNA helicase DHX29 [EC:3.6.4.13]
K01336	cerevisin [EC:3.4.21.48]
K01643	citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]
K19927	zona pellucida sperm-binding protein 2
K06268	serine/threonine-protein phosphatase 2B regulatory subunit
K18746	protein cup
K10100	F-box protein 6
K00825	kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]
K01417	extracellular elastinolytic metalloproteinase [EC:3.4.24.-]
K10182	T-box protein 15
K17378	microRNA 494
K14620	riboflavin transporter 2
K13809	UMP-CMP kinase 2, mitochondrial [EC:2.7.4.14]
K11682	SWR1-complex protein 3
K04506	E3 ubiquitin-protein ligase SIAH1 [EC:2.3.2.27]
K12393	AP-1 complex subunit mu
K19311	lipase [EC:3.1.1.-]
K16930	tRNA(cytosine8) deaminase [EC:3.5.4.35]
K00460	arachidonate 15-lipoxygenase [EC:1.13.11.33]
K05845	osmoprotectant transport system substrate-binding protein
K22164	F420H2 dehydrogenase subunit I [EC:1.5.98.3]
K09889	ribosome-associated protein
K20135	factor VIII intron 22 protein
K17915	kinesin family member 14
K15364	RecQ-mediated genome instability protein 1
K14666	N-acetylglucosaminyltransferase [EC:2.4.1.-]
K17822	DCN1-like protein 1/2
K00003	homoserine dehydrogenase [EC:1.1.1.3]
K16230	transcriptional activator HAC1
K02626	arginine decarboxylase [EC:4.1.1.19]
K03482	GntR family transcriptional regulator, glv operon transcriptional regulator
K09997	arginine transport system substrate-binding protein
K00616	transaldolase [EC:2.2.1.2]
K22105	TetR/AcrR family transcriptional regulator, fatty acid biosynthesis regulator
K19078	two-component system, OmpR family, response regulator protein GraR
K16727	Rho guanine nucleotide exchange factor 10
K13765	regulator of G-protein signaling 9
K18623	protein cordon-bleu
K04974	transient receptor potential cation channel subfamily V member 5
K13370	17beta-estradiol 17-dehydrogenase / 3alpha(17beta)-hydroxysteroid dehydrogenase (NAD+) [EC:1.1.1.62 1.1.1.239]
K02035	peptide/nickel transport system substrate-binding protein
K13533	two-component system, sporulation sensor kinase E [EC:2.7.13.3]
K12505	decaprenyl-diphosphate synthase subunit 2 [EC:2.5.1.91]
K11770	chromatin structure-remodeling complex subunit SFH1
K20702	immune-induced peptide 4
K06491	neural cell adhesion molecule
K15740	tetrahydromethanopterin:alpha-L-glutamate ligase [EC:6.3.2.33]
K15944	nogalaviketone/aklaviketone reductase [EC:1.1.1.- 1.1.1.362]
K02746	PTS system, N-acetylgalactosamine-specific IIC component
K16607	nicolin-1
K16219	protein N-terminal methyltransferase [EC:2.1.1.244]
K07801	PhoPQ-activated protein
K15381	MFS transporter, FLVCR family, disrupted in renal carcinoma protein 2
K06615	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8F) [EC:2.4.99.-]
K02835	peptide chain release factor 1
K21138	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]
K10590	E3 ubiquitin-protein ligase TRIP12 [EC:2.3.2.26]
K05307	thiamine-triphosphatase [EC:3.6.1.28]
K12156	(methylthio)alkanaldoxime N-monooxygenase [EC:1.14.14.43]
K05639	amyloid-like protein 1
K08573	calpain-3 [EC:3.4.22.54]
K09817	zinc transport system ATP-binding protein [EC:3.6.3.-]
K21397	ABC transport system ATP-binding/permease protein
K13497	anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K11719	lipopolysaccharide export system protein LptC
K09191	general transcription factor IIIA
K05880	transcriptional activator for dhaKLM operon
K20648	Rho GTPase-activating protein 36
K08556	progesterone receptor
K19811	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.357]
K10547	putative multiple sugar transport system permease protein
K00285	D-amino-acid dehydrogenase [EC:1.4.5.1]
K18146	multidrug efflux pump
K02329	frizzled 3
K06940	uncharacterized protein
K07823	3-oxoadipyl-CoA thiolase [EC:2.3.1.174]
K13712	phosphatidylinositol-4-phosphate 5-kinase-like protein 1 [EC:2.7.1.68]
K01188	beta-glucosidase [EC:3.2.1.21]
K10739	replication factor A2
K18203	[phosphatase 2A protein]-leucine-carboxy methyltransferase [EC:2.1.1.233]
K12417	acyl-CoA thioesteraes 11 [EC:3.1.2.-]
K16782	neuralized-like protein 2
K20633	Rho GTPase-activating protein 8
K08851	TP53 regulating kinase and related kinases [EC:2.7.11.1]
K03251	translation initiation factor 3 subunit D
K07274	MipA family protein
K04036	divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]
K00983	N-acylneuraminate cytidylyltransferase [EC:2.7.7.43]
K17899	D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]
K09811	cell division transport system permease protein
K04375	ETS domain-containing protein Elk-1
K01908	propionyl-CoA synthetase [EC:6.2.1.17]
K16260	mxaD protein
K21029	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]
K04596	brain-specific angiogenesis inhibitor 1
K13562	NAD(P)H:FMN oxidoreductase [EC:1.5.1.-]
K18336	2,4-diketo-3-deoxy-L-fuconate hydrolase [EC:3.7.1.-]
K06406	stage V sporulation protein AD
K11771	SWI/SNF chromatin-remodeling complex subunit SWI1
K00365	urate oxidase [EC:1.7.3.3]
K04568	elongation factor P--(R)-beta-lysine ligase [EC:6.3.1.-]
K00338	NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]
K20630	chimaerin
K21964	Mat/Ecp fimbriae major subunit
K14998	surfeit locus 1 family protein
K14424	methylsterol monooxygenase 2
K17913	carlactone synthase / all-trans-10'-apo-beta-carotenal 13,14-cleaving dioxygenase [EC:1.13.11.69 1.13.11.70]
K19884	7-chloro-L-tryptophan oxidase [EC:1.4.3.23]
K10998	replication fork protection complex subunit Csm3/Swi3
K06206	sugar fermentation stimulation protein A
K04002	complement component 4 binding protein, alpha
K08255	CoA-disulfide reductase [EC:1.8.1.14]
K10545	D-xylose transport system ATP-binding protein [EC:3.6.3.17]
K16700	amylovoran biosynthesis glycosyltransferase AmsB [EC:2.4.-.-]
K16322	low-affinity inorganic phosphate transporter
K04063	osmotically inducible protein OsmC
K19986	exocyst complex component 8
K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K03438	16S rRNA (cytosine1402-N4)-methyltransferase [EC:2.1.1.199]
K21278	dual specificity protein phosphatase 1 [EC:3.1.3.16 3.1.3.48]
K10383	envoplakin
K16757	coiled-coil domain-containing protein 77
K02073	D-methionine transport system substrate-binding protein
K20617	cytochrome P450 family 71 subfamily A
K00759	adenine phosphoribosyltransferase [EC:2.4.2.7]
K18886	gibberellin A4 carboxyl methyltransferase [EC:2.1.1.276]
K00663	aminoglycoside 6'-N-acetyltransferase [EC:2.3.1.82]
K19477	cGMP-dependent protein kinase 2 [EC:2.7.11.12]
K05059	ciliary neurotrophic factor receptor
K11005	hemolysin A
K16123	tyrocidine synthetase II
K15741	methylthioalkylmalate synthase 1 [EC:2.3.3.17]
K08784	HtrA serine peptidase 1 [EC:3.4.21.-]
K19807	transcription factor SMP1
K14489	arabidopsis histidine kinase 2/3/4 (cytokinin receptor) [EC:2.7.13.3]
K07380	contactin associated protein-like 2
K16840	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K04006	decay accelerating factor
K01187	alpha-glucosidase [EC:3.2.1.20]
K12999	glucosyltransferase [EC:2.4.1.-]
K18429	GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]
K08159	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
K07430	25/26-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.29]
K15725	outer membrane protein, cobalt-zinc-cadmium efflux system
K03669	membrane glycosyltransferase [EC:2.4.1.-]
K05340	glucose uptake protein
K15943	nogalonic acid methyl ester cyclase / aklanonic acid methyl ester cyclase [EC:5.5.1.26 5.5.1.23]
K07689	two-component system, NarL family, invasion response regulator UvrY
K16961	putative amino-acid transport system substrate-binding protein
K08109	glypican 3
K09940	uncharacterized protein
K03100	signal peptidase I [EC:3.4.21.89]
K01719	uroporphyrinogen-III synthase [EC:4.2.1.75]
K00325	NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]
K11433	histone-lysine N-methyltransferase SETMAR [EC:2.1.1.43]
K21421	NADPH oxidase 2 [EC:1.-.-.-]
K13686	galactan 5-O-arabinofuranosyltransferase [EC:2.4.2.46]
K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]
K19070	oxalate oxidoreductase subunit alpha [EC:1.2.7.10]
K02146	V-type H+-transporting ATPase subunit d
K15256	tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
K00696	sucrose-phosphate synthase [EC:2.4.1.14]
K02803	PTS system, N-acetylglucosamine-specific IIB component [EC:2.7.1.193]
K12760	G1/S-specific cyclin CLN1
K01556	kynureninase [EC:3.7.1.3]
K03499	trk system potassium uptake protein
K18888	ATP-binding cassette, subfamily B, multidrug efflux pump
K18205	non-reducing end beta-L-arabinofuranosidase [EC:3.2.1.185]
K16799	transcriptional activator cubitus interruptus
K20914	gamma-interferon-inducible protein 16
K17199	Ras and EF-hand domain-containing protein
K03297	small multidrug resistance pump
K03473	erythronate-4-phosphate dehydrogenase [EC:1.1.1.290]
K11972	E3 ubiquitin-protein ligase RNF19A [EC:2.3.2.27]
K14523	ribonucleases P/MRP protein subunit RPP38 [EC:3.1.26.5]
K17240	inositol-phosphate transport system ATP-binding protein
K01621	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]
K02608	origin recognition complex subunit 6
K21994	LOB domain-containing protein 18
K06188	aquaporin Z
K13520	outer membrane protease [EC:3.4.23.-]
K07711	two-component system, NtrC family, sensor histidine kinase GlrK [EC:2.7.13.3]
K18321	membrane fusion protein, multidrug efflux system
K14077	two pore calcium channel protein 2
K05634	prion protein
K11535	nucleoside transport protein
K09147	uncharacterized protein
K14221	tRNA Asp
K17526	oviduct-specific glycoprotein
K09379	zinc finger homeobox protein 2
K18768	beta-lactamase class A KPC [EC:3.5.2.6]
K17977	GTP-binding protein YPT11
K17387	kinesin family member 23
K15163	mediator of RNA polymerase II transcription subunit 12, fungi type
K00646	malonyl-ACP decarboxylase
K15743	carboxylesterase 3/5 [EC:3.1.1.1]
K04850	voltage-dependent calcium channel L type alpha-1C
K14458	2-acylglycerol O-acyltransferase 1 [EC:2.3.1.22]
K15259	poly [ADP-ribose] polymerase 7/11/12/13 [EC:2.4.2.30]
K00371	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
K14930	small nucleolar RNA snR83
K18667	activating signal cointegrator complex subunit 2
K14058	tRNA 2-thiocytidine biosynthesis protein TtcA
K17134	microRNA 379
K12810	major structural subunit of bundle-forming pilus
K20315	Rho GTPase-activating protein 21/23
K18253	phthalate 3,4-dioxygenase ferredoxin component
K04758	ferrous iron transport protein A
K14517	ethylene-responsive transcription factor 2
K02455	general secretion pathway protein F
K08062	regulatory factor X-associated ankyrin-containing protein
K22331	beta-lactamase class D OXA-184 [EC:3.5.2.6]
K16674	four-jointed box protein 1
K19215	beta-lactamase class C ACT/MIR [EC:3.5.2.6]
K06888	uncharacterized protein
K14484	auxin-responsive protein IAA
K06980	tRNA-modifying protein YgfZ
K11994	deoxyribonuclease-1 [EC:3.1.21.1]
K11123	regulatory protein SIR4
K10697	two-component system, OmpR family, response regulator RpaA
K20982	lovastatin enoyl reductase [EC:2.3.1.161]
K14202	chemotaxis inhibitory protein
K17223	sulfur-oxidizing protein SoxX
K20686	Rho guanine nucleotide exchange factor 9
K04482	DNA repair protein RAD51
K05703	tyrosine-protein kinase Fyn [EC:2.7.10.2]
K08498	syntaxin 6
K11300	high-mobility group nucleosome-binding domain-containing protein 2
K05382	phycoerythrin-associated linker protein
K08867	WNK lysine deficient protein kinase [EC:2.7.11.1]
K05154	tumor necrosis factor receptor superfamily member 18
K21253	glutathione S-transferase fosA [EC:2.5.1.18]
K07322	regulator of cell morphogenesis and NO signaling
K09076	mesoderm posterior
K12244	[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase [EC:2.4.1.229]
K21276	beta-lactamase class D OXA-22 [EC:3.5.2.6]
K04108	4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.3.7.9]
K17175	microRNA 520
K10711	GntR family transcriptional regulator, frlABCD operon transcriptional regulator
K13623	S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase
K14807	ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13]
K12553	penicillin-binding protein 3 [EC:3.4.-.-]
K02911	large subunit ribosomal protein L32
K11685	DNA-binding protein StpA
K07726	putative transcriptional regulator
K20907	2-hydroxyisobutanoyl-CoA mutase small subunit [EC:5.4.99.64]
K11012	enterotoxin Set1B
K06968	23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]
K07408	cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]
K15779	phosphoglucomutase / phosphopentomutase [EC:5.4.2.2 5.4.2.7]
K18504	small regulatory RNA ArcZ
K00807	leukotriene-C4 synthase [EC:4.4.1.20]
K06461	integrin alpha M
K15683	NF-X1-type zinc finger protein NFXL1
K13978	actinin-like protein
K02270	cytochrome c oxidase subunit 7a
K15864	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]
K09173	regulatory factor X 1/2/3
K06159	multidrug/microcin transport system ATP-binding/permease protein
K21376	5-methyl-1-naphthoate 3-hydroxylase [EC:1.14.13.189]
K12869	crooked neck
K11964	pellino [EC:2.3.2.27]
K18712	THO complex subunit HPR1
K12753	myosin regulatory light chain 5
K04750	PhnB protein
K07176	putative serine/threonine protein kinase
K01947	biotin---[acetyl-CoA-carboxylase] ligase / type III pantothenate kinase [EC:6.3.4.15 2.7.1.33]
K15060	5,5'-dehydrodivanillate O-demethylase
K17206	putative xylitol transport system permease protein
K10685	ubiquitin-like 1-activating enzyme E1 B [EC:6.2.1.45]
K12647	interferon-induced helicase C domain-containing protein 1 [EC:3.6.4.13]
K20688	Rho guanine nucleotide exchange factor 16
K05262	adenylate cyclase activating polypeptide
K07930	Ras-related protein Rab-43
K05759	profilin
K00613	glycine amidinotransferase [EC:2.1.4.1]
K11169	dehydrogenase/reductase SDR family member 13 [EC:1.1.-.-]
K18580	rhamnogalacturonan hydrolase [EC:3.2.1.171]
K05254	ghrelin
K10021	octopine/nopaline transport system ATP-binding protein [EC:3.6.3.-]
K03813	molybdenum transport protein [EC:2.4.2.-]
K02630	phycoerythrocyanin-associated rod linker protein
K08040	class B basic helix-loop-helix protein 8
K22325	chloroacetanilide N-alkylformylase [EC:1.14.15.23]
K18361	phenylacetyl-CoA:acceptor oxidoreductase [EC:1.17.5.1 3.1.2.25]
K10806	acyl-CoA thioesterase YciA [EC:3.1.2.-]
K18618	growth arrest-specific protein 7
K17313	trehalose transport system permease protein
K06711	hypoxia-inducible factor prolyl 4-hydroxylase [EC:1.14.11.-]
K16546	FGFR1 oncogene partner
K02906	large subunit ribosomal protein L3
K22154	dapper
K04161	5-hydroxytryptamine receptor 5
K02047	sulfate transport system permease protein
K08242	24-methylenesterol C-methyltransferase [EC:2.1.1.143]
K02431	L-fucose mutarotase [EC:5.1.3.29]
K08635	membrane metallo-endopeptidase-like 1
K11563	kinetochore protein Spc7/SPC105
K07447	putative holliday junction resolvase [EC:3.1.-.-]
K08097	phosphosulfolactate synthase [EC:4.4.1.19]
K19993	pleckstrin
K09106	upstream stimulatory factor
K07513	acetyl-CoA acyltransferase 1 [EC:2.3.1.16]
K03670	periplasmic glucans biosynthesis protein
K03058	DNA-directed RNA polymerase subunit N [EC:2.7.7.6]
K20843	hydroxyproline O-galactosyltransferase 2/3/4/5/6 [EC:2.4.1.-]
K09634	transmembrane protease serine 3 [EC:3.4.21.-]
K17542	SCY1-like protein 3
K08651	thermitase [EC:3.4.21.66]
K15730	cytosolic prostaglandin-E synthase [EC:5.3.99.3]
K07434	aromatase [EC:1.14.14.14]
K06622	cyclin-dependent kinase inhibitor 2C
K07838	Ras-related protein Rap-2B
K20010	Ser/Thr-rich caspase [EC:3.4.22.-]
K18132	major outer membrane protein P.IA
K04403	TAK1-binding protein 1
K03088	RNA polymerase sigma-70 factor, ECF subfamily
K16089	outer membrane receptor for ferrienterochelin and colicins
K20646	Rho GTPase-activating protein 31
K16422	4-hydroxymandelate oxidase [EC:1.1.3.46]
K07647	two-component system, OmpR family, sensor histidine kinase TorS [EC:2.7.13.3]
K03119	taurine dioxygenase [EC:1.14.11.17]
K17900	lipase ATG15 [EC:3.1.1.3]
K16789	thiamine transporter
K05887	quinate/shikimate dehydrogenase [EC:1.1.1.282]
K08041	adenylate cyclase 1 [EC:4.6.1.1]
K11680	non-histone protein 10
K03047	DNA-directed RNA polymerase subunit D [EC:2.7.7.6]
K13758	retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta
K07415	cytochrome P450 family 2 subfamily E polypeptide 1 [EC:1.14.13.-]
K03222	type III secretion protein J
K04554	ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
K03822	putative long chain acyl-CoA synthase [EC:6.2.1.-]
K02818	PTS system, trehalose-specific IIB component [EC:2.7.1.201]
K14844	pumilio homology domain family member 6
K06551	signal-regulatory protein alpha/beta1/gamma
K04870	voltage-dependent calcium channel gamma-5
K18525	small regulatory RNA GadY
K14490	histidine-containing phosphotransfer peotein
K07403	membrane-bound serine protease (ClpP class)
K03786	3-dehydroquinate dehydratase II [EC:4.2.1.10]
K01753	D-serine dehydratase [EC:4.3.1.18]
K18198	rhamnogalacturonan exolyase [EC:4.2.2.24]
K10033	C-X-C motif chemokine 14
K12536	ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase
K08300	ribonuclease E [EC:3.1.26.12]
K14757	calbindin D28
K11814	multidrug resistance protein EbrA
K09149	uncharacterized protein
K20821	BLOC-1 related complex subunit 7
K07684	two-component system, NarL family, nitrate/nitrite response regulator NarL
K21414	ankyrin repeat and SAM domain-containing protein 4B
K17663	cytochrome b pre-mRNA-processing protein 6
K04795	fibrillarin-like pre-rRNA processing protein
K09042	transcription regulator BACH
K04738	cytokine receptor common subunit beta
K19577	MFS transporter, DHA1 family, inner membrane transport protein
K14625	C-C motif chemokine 20
K06872	uncharacterized protein
K03792	neolactotetraosylceramide alpha-2,3-sialyltransferase (sialyltransferase 10) [EC:2.4.99.6]
K10604	E3 ubiquitin-protein ligase MGRN1 [EC:2.3.2.27]
K00795	farnesyl diphosphate synthase [EC:2.5.1.1 2.5.1.10]
K21677	hydroxysqualene dehydroxylase [EC:1.17.8.1]
K10457	kelch-like protein 20
K19321	beta-lactamase class D OXA-214 [EC:3.5.2.6]
K10803	DNA-repair protein XRCC1
K17658	transcription elongation factor, mitochondrial
K03521	electron transfer flavoprotein beta subunit
K19719	collagen, type II, alpha
K19547	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate isomerase [EC:5.3.3.19]
K17905	calcipression-3
K06088	occludin
K20613	kievitone hydratase [EC:4.2.1.95]
K19655	spermatogenesis-associated protein 7
K14801	pre-rRNA-processing protein TSR4
K01940	argininosuccinate synthase [EC:6.3.4.5]
K01518	bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17]
K19748	RAB6-interacting golgin
K07481	transposase, IS5 family
K14610	solute carrier family 19 (thiamine transporter), member 2/3
K18859	succinate dehydrogenase / fumarate reductase, subunit D
K21158	serine/threonine-protein kinase TOS3 [EC:2.7.11.1]
K05896	segregation and condensation protein A
K13352	peroxin-11B
K17866	diphthamide biosynthesis protein 2
K00718	galactoside 2-L-fucosyltransferase 1/2 [EC:2.4.1.69]
K11000	callose synthase [EC:2.4.1.-]
K18561	FAD-dependent fumarate reductase [EC:1.3.8.-]
K18076	1,2-dihydroxy-3,5-cyclohexadiene-1,4-dicarboxylate dehydrogenase [EC:1.3.1.53]
K14317	nuclear pore complex protein Nup214
K22227	heme synthase
K06254	agrin
K11679	Ino eighty subunit 5
K11638	two-component system, CitB family, response regulator CitT
K20478	golgin subfamily B member 1
K11938	HMP-PP phosphatase [EC:3.6.1.-]
K06338	spore coat protein SA
K15474	enhanced entry protein EnhC
K19130	CRISPR-associated endonuclease Csy4 [EC:3.1.-.-]
K20915	tumor suppressor p53-binding protein 1
K18979	epoxyqueuosine reductase [EC:1.17.99.6]
K19503	anoctamin-9
K17972	N-terminal acetyltransferase B complex catalytic subunit [EC:2.3.1.254]
K08974	putative membrane protein
K02783	PTS system, glucitol/sorbitol-specific IIC component
K04547	guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-13
K13291	terminal uridylyltransferase [EC:2.7.7.52]
K21701	AraC family transcriptional regulator, transcriptional activator for feuABC-ybbA operon
K19233	ECM component-binding autotransporter adhesin
K05482	interleukin 18
K04116	cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]
K06543	killer cell lectin-like receptor subfamily B
K03096	frequently rearranged in advanced T-cell lymphomas 2
K06607	myo-inositol catabolism protein IolS [EC:1.1.1.-]
K08543	testicular receptor 2
K08468	G protein-coupled receptor family C group 5 member A
